Gender,Life Stage Group,VITA_RAE,VITC,VITD,TOCPHA,VITK,THIA,RIBF,NIA,VITB6A,FOLFD,VITB12,CHOLN,CA,CU,FE,MG,P,SE,ZN,K,SO,WATER,CHOLE,CHOCDF,FIBTG,FAT,PROCNT
Infants,0-6 mo,400,40,10,4,2,0.2,0.3,2,0.1,65,0.4,125,200,0.2,0.27,30,100,15,2,400,192,700,300,60,100,31,9.1
Infants,6-12 mo,500,50,10,5,2.5,0.3,0.4,4,0.3,80,0.5,150,260,0.22,11,75,275,20,3,700,592,800,300,95,100,30,11
Children,1-3,300,15,15,6,30,0.5,0.5,6,0.5,150,0.9,200,700,0.34,7,80,460,20,3,3000,1600,1300,300,130,19,100,13
Children,4-8,400,25,15,7,55,0.6,0.6,8,0.6,200,1.2,250,1000,0.44,10,130,500,30,5,3800,1920,1700,300,130,25,100,19
Males,9-13,600,45,15,11,60,0.9,0.9,12,1,300,1.8,375,1300,0.7,8,240,1250,40,8,4500,2400,2400,300,130,31,100,34
Males,14-18,900,75,15,15,75,1.2,1.3,16,1.3,400,2.4,550,1300,0.89,11,410,1250,55,11,4700,2400,3300,300,130,38,100,52
Males,19-30,900,90,15,15,120,1.2,1.3,16,1.3,400,2.4,550,1000,0.9,8,400,700,55,11,4700,2400,3700,300,130,38,100,56
Males,31-50,900,90,15,15,120,1.2,1.3,16,1.3,400,2.4,550,1000,0.9,8,420,700,55,11,4700,2400,3700,300,130,38,100,56
Males,51-70,900,90,15,15,120,1.2,1.3,16,1.7,400,2.4,550,1000,0.9,8,420,700,55,11,4700,2080,3700,300,130,30,100,56
Males,over70,900,90,20,15,120,1.2,1.3,16,1.7,400,2.4,550,1200,0.9,8,420,700,55,11,4700,1920,3700,300,130,30,100,56
Females,9-13,600,45,15,11,60,0.9,0.9,12,1,300,1.8,375,1300,0.7,8,240,1250,40,8,4500,2400,2100,300,130,26,100,34
Females,14-18,700,65,15,15,75,1,1,14,1.2,400,2.4,400,1300,0.89,15,360,1250,55,9,4700,2400,2300,300,130,26,100,46
Females,19-30,700,75,15,15,90,1.1,1.1,14,1.3,400,2.4,425,1000,0.9,18,310,700,55,8,4700,2400,2700,300,130,25,100,46
Females,31-50,700,75,15,15,90,1.1,1.1,14,1.3,400,2.4,425,1000,0.9,18,320,700,55,8,4700,2400,2700,300,130,25,100,46
Females,51-70,700,75,15,15,90,1.1,1.1,14,1.5,400,2.4,425,1200,0.9,8,320,700,55,8,4700,2080,2700,300,130,21,100,46
Females,over70,700,75,20,15,90,1.1,1.1,14,1.5,400,2.4,425,1200,0.9,8,320,700,55,8,4700,1920,2700,300,130,21,100,46
Pregnancy,14-18,750,80,15,15,75,1.4,1.4,18,1.9,600,2.6,450,1300,1,27,400,1250,60,12,4700,2400,3000,300,175,28,100,71
Pregnancy,19-30,770,85,15,15,90,1.4,1.4,18,1.9,600,2.6,450,1000,1,27,350,700,60,11,4700,2400,3000,300,175,28,100,71
Pregnancy,31-50,770,85,15,15,90,1.4,1.4,18,1.9,600,2.6,450,1000,1,27,360,700,60,11,4700,2400,3000,300,175,28,100,71
Lactation,14-18,1200,115,15,19,75,1.4,1.6,17,2,500,2.8,550,1300,1.3,10,360,1250,70,13,5100,2400,3800,300,210,29,100,71
Lactation,19-30,1300,120,15,19,90,1.4,1.6,17,2,500,2.8,550,1000,1.3,9,310,700,70,12,5100,2400,3800,300,210,29,100,71
Lactation,31-50,1300,120,15,19,90,1.4,1.6,17,2,500,2.8,550,1000,1.3,9,320,700,70,12,5100,2400,3800,300,210,29,100,71
